OrderNumber,OrderDate,Channel,Order Quantity,Unit Price,Line Total,Unit Cost,Product Name,Product Sales,District,SubDistrict,Total Unit Cost,District Sales,SubDistrict Sales,SchoolCustomer,centroid_lat,centroid_long,rentabel,Category,Warehouse Name
SO - 000105,2014-06-01,Wholesale,6,1822.4,10934.4,1476.144,Product 7,25715986.9,СВАО,Ростокино,8856.864,12956171.9,804810.7,ГБОУ школа № 1623,55.62762475578381,37.61366364207346,0.23,IT technology,Север
SO - 0002334,2015-02-13,Wholesale,7,3939.6,27577.2,2481.948,Product 12,3109289.1,СЗАО,Южное Тушино,17373.636,12797656.6,1602117.4,ГБОУ школа № 1623,55.62762475578381,37.61366364207346,0.59,Printed products,Север
SO - 0003346,2015-06-15,Wholesale,5,1869.3,9346.5,1401.975,Product 5,17047098.1,ЮАО,Нагатино-Садовники,7009.875,11968129.6,762768.2,ГБОУ школа № 1623,55.62762475578381,37.61366364207346,0.33,Household materials,Север
SO - 0006265,2016-06-01,Wholesale,10,1105.5,11055.0,674.355,Product 7,25715986.9,ЮАО,Орехово-Борисово Южное,6743.55,11968129.6,865780.7,ГБОУ школа № 1623,55.62762475578381,37.61366364207346,0.64,IT technology,Север
SO - 0002273,2015-02-07,Wholesale,9,1139.0,10251.0,751.74,Product 7,25715986.9,ЦАО,Якиманка,6765.66,12422885.4,905230.3,ГБОУ школа № 1623,55.62762475578381,37.61366364207346,0.52,IT technology,Север
SO - 0006949,2016-08-21,Distributor,10,1192.6,11926.0,954.08,Product 13,11774660.4,ЦАО,Басманный,9540.800000000001,12422885.4,1246226.8,ГБОУ школа № 1623,55.62762475578381,37.61366364207346,0.25,Printed products,Север
SO - 0004818,2015-12-15,Wholesale,7,247.9,1735.3,131.387,Product 7,25715986.9,СВАО,Ростокино,919.7090000000001,12956171.9,804810.7,ГБОУ школа № 2116,55.617478137234244,37.75494497421875,0.89,IT technology,Север
SO - 0003567,2015-07-15,Export,11,2546.0,28006.0,1374.84,Product 7,25715986.9,СЗАО,Хорошёво-Мнёвники,15123.24,12797656.6,1570915.5,ГБОУ школа № 2116,55.617478137234244,37.75494497421875,0.85,IT technology,Север
SO - 0001011,2014-09-15,Distributor,10,3886.0,38860.0,2720.2,Product 7,25715986.9,СЗАО,Покровское-Стрешнево,27202.0,12797656.6,1404527.7,ГБОУ школа № 2116,55.617478137234244,37.75494497421875,0.43,IT technology,Юг
SO - 000785,2014-08-19,Wholesale,8,3363.4,26907.2,1681.7,Product 2,22913892.8,СЗАО,Митино,13453.6,12797656.6,1592623.5,ГБОУ школа № 2116,55.617478137234244,37.75494497421875,1.0,Household materials,Север
SO - 0002170,2015-01-26,Wholesale,11,1896.1,20857.1,796.362,Product 13,11774660.4,СЗАО,Южное Тушино,8759.982,12797656.6,1602117.4,ГБОУ школа № 2116,55.617478137234244,37.75494497421875,1.38,Printed products,Запад
SO - 0001358,2014-10-30,Wholesale,8,871.0,6968.0,600.99,Product 14,3144263.1,ЮВАО,Печатники,4807.92,12250166.1,1183387.5,ГБОУ школа № 2116,55.617478137234244,37.75494497421875,0.45,Printed products,Юг
SO - 0006134,2016-05-18,Distributor,11,3557.7,39134.7,1707.696,Product 3,3066281.8,ЮВАО,Кузьминки,18784.656,12250166.1,1034453.2,ГБОУ школа № 2116,55.617478137234244,37.75494497421875,1.08,IT technology,Восток
SO - 0004781,2015-12-10,Export,6,777.2,4663.2,466.32,Product 1,25571548.3,ЮВАО,Кузьминки,2797.92,12250166.1,1034453.2,ГБОУ школа № 2116,55.617478137234244,37.75494497421875,0.67,Printed products,Юг
SO - 0004639,2015-11-24,Export,8,904.5,7236.0,768.825,Product 11,20621809.4,ЮАО,Чертаново Северное,6150.6,11968129.6,912962.1,ГБОУ школа № 2116,55.617478137234244,37.75494497421875,0.18,Household materials,Юг
SO - 0007389,2016-10-11,Distributor,10,2458.9,24589.0,2016.298,Product 5,17047098.1,ЦАО,Якиманка,20162.98,12422885.4,905230.3,ГБОУ школа № 2116,55.617478137234244,37.75494497421875,0.22,Household materials,Запад
SO - 0007780,2016-11-23,Wholesale,10,3966.4,39664.0,2181.52,Product 7,25715986.9,ЦАО,Тверской,21815.2,12422885.4,1363979.3,ГБОУ школа № 2116,55.617478137234244,37.75494497421875,0.82,IT technology,Север
SO - 0006574,2016-07-08,Wholesale,7,3477.3,24341.1,1390.92,Product 7,25715986.9,СВАО,Ростокино,9736.44,12956171.9,804810.7,ГБОУ школа № 1527,55.68247028212525,37.669029055794304,1.5,IT technology,Север
SO - 0003457,2015-06-30,Wholesale,11,5366.7,59033.7,4239.693,Product 1,25571548.3,СВАО,Ярославский,46636.623,12956171.9,953584.2,ГБОУ школа № 1527,55.68247028212525,37.669029055794304,0.27,Printed products,Запад
SO - 0004888,2015-12-23,Distributor,9,5748.6,51737.4,4598.88,Product 2,22913892.8,СЗАО,Хорошёво-Мнёвники,41389.92,12797656.6,1570915.5,ГБОУ школа № 1527,55.68247028212525,37.669029055794304,0.25,Household materials,Восток
SO - 0002660,2015-03-31,Wholesale,10,2425.4,24254.0,2013.082,Product 7,25715986.9,СЗАО,Северное Тушино,20130.82,12797656.6,1608623.1,ГБОУ школа № 1527,55.68247028212525,37.669029055794304,0.2,IT technology,Юг
SO - 000170,2014-06-09,Distributor,8,227.8,1822.4,107.066,Product 5,17047098.1,СЗАО,Северное Тушино,856.528,12797656.6,1608623.1,ГБОУ школа № 1527,55.68247028212525,37.669029055794304,1.13,Household materials,Север
SO - 0005776,2016-04-04,Wholesale,7,1105.5,7738.5,784.905,Product 5,17047098.1,СЗАО,Строгино,5494.335,12797656.6,1583538.3,ГБОУ школа № 1527,55.68247028212525,37.669029055794304,0.41,Household materials,Запад
SO - 0004524,2015-11-12,Distributor,10,3879.3,38793.0,2793.096,Product 4,2857288.7,ЮВАО,Лефортово,27930.96,12250166.1,915628.7,ГБОУ школа № 1527,55.68247028212525,37.669029055794304,0.39,Printed products,Запад
SO - 0001336,2014-10-27,Wholesale,6,1025.1,6150.6,574.056,Product 1,25571548.3,ВАО,Вешняки,3444.3360000000002,12387402.2,753830.4,ГБОУ школа № 1527,55.68247028212525,37.669029055794304,0.79,Printed products,Север
SO - 0003093,2015-05-18,Distributor,12,2010.0,24120.0,964.8,Product 7,25715986.9,ВАО,Вешняки,11577.599999999999,12387402.2,753830.4,ГБОУ школа № 1527,55.68247028212525,37.669029055794304,1.08,IT technology,Восток
SO - 0006931,2016-08-18,Wholesale,10,1078.7,10787.0,474.628,Product 1,25571548.3,ВАО,Соколиная Гора,4746.28,12387402.2,881338.1,ГБОУ школа № 1527,55.68247028212525,37.669029055794304,1.27,Printed products,Восток
SO - 0007239,2016-09-23,Wholesale,10,3906.1,39061.0,2695.209,Product 5,17047098.1,САО,Войковский,26952.089999999997,13554026.3,839087.9,ГБОУ школа № 1527,55.68247028212525,37.669029055794304,0.45,Household materials,Север
SO - 0006470,2016-06-26,Export,9,1051.9,9467.1,820.482,Product 14,3144263.1,САО,Сокол,7384.338,13554026.3,767210.3,ГБОУ школа № 1527,55.68247028212525,37.669029055794304,0.28,Printed products,Север
SO - 0004380,2015-10-23,Wholesale,6,1835.8,11014.8,844.468,Product 2,22913892.8,СВАО,Ростокино,5066.808,12956171.9,804810.7,ГБОУ школа № 1383,55.862527209533845,37.56628569598783,1.17,Household materials,Север
SO - 0007187,2016-09-18,Wholesale,11,1031.8,11349.8,588.126,Product 7,25715986.9,СВАО,Лианозово,6469.3859999999995,12956171.9,457884.7,ГБОУ школа № 1383,55.862527209533845,37.56628569598783,0.75,IT technology,Север
SO - 0001896,2014-12-30,Wholesale,8,254.6,2036.8,134.938,Product 7,25715986.9,СВАО,Отрадное,1079.504,12956171.9,640794.7,ГБОУ школа № 1383,55.862527209533845,37.56628569598783,0.89,IT technology,Запад
SO - 0002646,2015-03-27,Wholesale,11,2345.0,25795.0,1618.05,Product 10,3115647.4,САО,Восточное Дегунино,17798.55,13554026.3,956565.7,ГБОУ школа № 1383,55.862527209533845,37.56628569598783,0.45,Printed products,Север
SO - 0006872,2016-08-12,Distributor,8,2291.4,18331.2,1718.55,Product 13,11774660.4,САО,Ховрино,13748.4,13554026.3,598805.8,ГБОУ школа № 1383,55.862527209533845,37.56628569598783,0.33,Printed products,Восток
SO - 0001450,2014-11-09,Wholesale,9,750.4,6753.6,405.216,Product 12,3109289.1,САО,Савёловский,3646.944,13554026.3,871931.3,ГБОУ школа № 1383,55.862527209533845,37.56628569598783,0.85,Printed products,Юг
